year,suicides_no,country,HDI_for_year
2000,172,Austria,0.836
2000,342,Austria,0.836
2000,383,Austria,0.836
2000,149,Austria,0.836
2000,92,Austria,0.836
2000,106,Austria,0.836
2000,143,Austria,0.836
2000,132,Austria,0.836
2000,27,Austria,0.836
2000,34,Austria,0.836
2000,4,Austria,0.836
2000,4,Austria,0.836
2005,166,Austria,0.853
2005,331,Austria,0.853
2005,364,Austria,0.853
2005,81,Austria,0.853
2005,102,Austria,0.853
2005,83,Austria,0.853
2005,96,Austria,0.853
2005,121,Austria,0.853
2005,33,Austria,0.853
2005,18,Austria,0.853
2005,3,Austria,0.853
2005,1,Austria,0.853
2010,180,Austria,0.879
2010,287,Austria,0.879
2010,325,Austria,0.879
2010,91,Austria,0.879
2010,85,Austria,0.879
2010,62,Austria,0.879
2010,90,Austria,0.879
2010,102,Austria,0.879
2010,25,Austria,0.879
2010,14,Austria,0.879
2010,2,Austria,0.879
2010,1,Austria,0.879
2011,196,Austria,0.881
2011,276,Austria,0.881
2011,336,Austria,0.881
2011,97,Austria,0.881
2011,58,Austria,0.881
2011,67,Austria,0.881
2011,113,Austria,0.881
2011,95,Austria,0.881
2011,23,Austria,0.881
2011,23,Austria,0.881
2011,3,Austria,0.881
2011,1,Austria,0.881
2012,189,Austria,0.884
2012,298,Austria,0.884
2012,332,Austria,0.884
2012,99,Austria,0.884
2012,76,Austria,0.884
2012,66,Austria,0.884
2012,99,Austria,0.884
2012,87,Austria,0.884
2012,20,Austria,0.884
2012,6,Austria,0.884
2012,3,Austria,0.884
2012,1,Austria,0.884
2013,221,Austria,0.884
2013,299,Austria,0.884
2013,317,Austria,0.884
2013,64,Austria,0.884
2013,75,Austria,0.884
2013,118,Austria,0.884
2013,54,Austria,0.884
2013,94,Austria,0.884
2013,25,Austria,0.884
2013,20,Austria,0.884
2013,3,Austria,0.884
2013,1,Austria,0.884
2014,206,Austria,0.885
2014,282,Austria,0.885
2014,321,Austria,0.885
2014,77,Austria,0.885
2014,100,Austria,0.885
2014,79,Austria,0.885
2014,108,Austria,0.885
2014,93,Austria,0.885
2014,29,Austria,0.885
2014,17,Austria,0.885
2014,2,Austria,0.885
1995,2,Azerbaijan,0.609
1995,18,Azerbaijan,0.609
1995,8,Azerbaijan,0.609
1995,9,Azerbaijan,0.609
1995,1,Azerbaijan,0.609
1995,5,Azerbaijan,0.609
1995,3,Azerbaijan,0.609
1995,3,Azerbaijan,0.609
2000,1,Azerbaijan,0.64
2000,9,Azerbaijan,0.64
2000,2,Azerbaijan,0.64
2000,11,Azerbaijan,0.64
2000,14,Azerbaijan,0.64
2000,11,Azerbaijan,0.64
2000,3,Azerbaijan,0.64
2000,4,Azerbaijan,0.64
2000,3,Azerbaijan,0.64
2000,3,Azerbaijan,0.64
2000,1,Azerbaijan,0.64
2000,4,Bahamas,0.778
2000,5,Bahamas,0.778
2000,1,Bahamas,0.778
2000,1,Bahamas,0.778
2005,1,Bahamas,0.78
2005,1,Bahamas,0.78
2005,1,Bahamas,0.78
2005,1,Bahamas,0.78
2010,1,Bahamas,0.774
2010,2,Bahamas,0.774
2010,3,Bahamas,0.774
2010,1,Bahamas,0.774
2010,1,Bahamas,0.774
2010,1,Bahamas,0.774
2010,1,Bahamas,0.774
2011,1,Bahamas,0.778
2011,1,Bahamas,0.778
2011,1,Bahamas,0.778
2011,1,Bahamas,0.778
2012,2,Bahamas,0.783
2012,2,Bahamas,0.783
2012,1,Bahamas,0.783
2013,2,Bahamas,0.786
2013,2,Bahamas,0.786
2013,1,Bahamas,0.786
1985,7,Bahrain,0.727
1985,3,Bahrain,0.727
1985,1,Bahrain,0.727
2000,16,Bahrain,0.794
2000,10,Bahrain,0.794
2000,2,Bahrain,0.794
2000,1,Bahrain,0.794
2005,15,Bahrain,0.816
2005,14,Bahrain,0.816
2005,2,Bahrain,0.816
2005,4,Bahrain,0.816
2005,3,Bahrain,0.816
2005,2,Bahrain,0.816
2005,2,Bahrain,0.816
2010,8,Bahrain,0.819
2010,6,Bahrain,0.819
2010,1,Bahrain,0.819
2010,2,Bahrain,0.819
2010,1,Bahrain,0.819
2010,1,Bahrain,0.819
2011,3,Bahrain,0.817
2011,1,Bahrain,0.817
2011,2,Bahrain,0.817
2011,4,Bahrain,0.817
2011,4,Bahrain,0.817
2011,2,Bahrain,0.817
2011,1,Bahrain,0.817
2011,1,Bahrain,0.817
2012,11,Bahrain,0.819
2012,6,Bahrain,0.819
2012,1,Bahrain,0.819
2012,1,Bahrain,0.819
2013,1,Bahrain,0.821
2013,2,Bahrain,0.821
2013,2,Bahrain,0.821
2014,4,Bahrain,0.824
2014,3,Bahrain,0.824
2014,1,Bahrain,0.824
2014,1,Bahrain,0.824
1985,1,Barbados,0.7
1985,3,Barbados,0.7
1985,2,Barbados,0.7
1985,1,Barbados,0.7
1990,3,Barbados,0.716
1990,5,Barbados,0.716
1990,2,Barbados,0.716
1990,2,Barbados,0.716
1990,2,Barbados,0.716
1990,1,Barbados,0.716
1990,1,Barbados,0.716
1995,7,Barbados,0.731
1995,3,Barbados,0.731
1995,2,Barbados,0.731
1995,1,Barbados,0.731
1995,2,Barbados,0.731
1995,1,Barbados,0.731
1995,1,Barbados,0.731
2000,4,Barbados,0.753
2000,3,Barbados,0.753
2000,1,Barbados,0.753
2000,2,Barbados,0.753
2005,1,Barbados,0.765
2010,3,Barbados,0.78
2000,721,Belarus,0.683
2000,1334,Belarus,0.683
2000,89,Belarus,0.683
2000,508,Belarus,0.683
2000,306,Belarus,0.683
2000,67,Belarus,0.683
2000,172,Belarus,0.683
2000,170,Belarus,0.683
2000,54,Belarus,0.683
2000,36,Belarus,0.683
2000,20,Belarus,0.683
2000,6,Belarus,0.683
2010,115,Belarus,0.786
2010,869,Belarus,0.786
2010,458,Belarus,0.786
2010,382,Belarus,0.786
2010,240,Belarus,0.786
2010,62,Belarus,0.786
2010,145,Belarus,0.786
2010,60,Belarus,0.786
2010,83,Belarus,0.786
2010,39,Belarus,0.786
2010,5,Belarus,0.786
2010,1,Belarus,0.786
2011,112,Belarus,0.793
2011,415,Belarus,0.793
2011,730,Belarus,0.793
2011,340,Belarus,0.793
2011,185,Belarus,0.793
2011,69,Belarus,0.793
2011,141,Belarus,0.793
2011,91,Belarus,0.793
2011,42,Belarus,0.793
2011,36,Belarus,0.793
2011,10,Belarus,0.793
2011,1,Belarus,0.793
2013,125,Belarus,0.796
2013,376,Belarus,0.796
2013,609,Belarus,0.796
2013,308,Belarus,0.796
2013,145,Belarus,0.796
2013,65,Belarus,0.796
2013,111,Belarus,0.796
2013,87,Belarus,0.796
2013,45,Belarus,0.796
2013,25,Belarus,0.796
2013,5,Belarus,0.796
2013,1,Belarus,0.796
2014,125,Belarus,0.798
2014,572,Belarus,0.798
2014,341,Belarus,0.798
2014,297,Belarus,0.798
2014,128,Belarus,0.798
2014,53,Belarus,0.798
2014,93,Belarus,0.798
2014,68,Belarus,0.798
2014,41,Belarus,0.798
2014,15,Belarus,0.798
2014,6,Belarus,0.798
2014,2,Belarus,0.798
1985,214,Belgium,0.774
1985,449,Belgium,0.774
1985,493,Belgium,0.774
1985,245,Belgium,0.774
1985,119,Belgium,0.774
1985,276,Belgium,0.774
1985,252,Belgium,0.774
1985,109,Belgium,0.774
1985,78,Belgium,0.774
1985,33,Belgium,0.774
1985,12,Belgium,0.774
1985,1,Belgium,0.774
1990,208,Belgium,0.806
1990,349,Belgium,0.806
1990,422,Belgium,0.806
1990,213,Belgium,0.806
1990,95,Belgium,0.806
1990,193,Belgium,0.806
1990,109,Belgium,0.806
1990,186,Belgium,0.806
1990,81,Belgium,0.806
1990,37,Belgium,0.806
1990,2,Belgium,0.806
1995,169,Belgium,0.851
1995,593,Belgium,0.851
1995,392,Belgium,0.851
1995,244,Belgium,0.851
1995,142,Belgium,0.851
1995,84,Belgium,0.851
1995,185,Belgium,0.851
1995,222,Belgium,0.851
1995,72,Belgium,0.851
1995,39,Belgium,0.851
1995,10,Belgium,0.851
1995,3,Belgium,0.851
2000,176,Belgium,0.874
2000,589,Belgium,0.874
2000,353,Belgium,0.874
2000,265,Belgium,0.874
2000,139,Belgium,0.874
2000,253,Belgium,0.874
2000,180,Belgium,0.874
2000,76,Belgium,0.874
2000,69,Belgium,0.874
2000,38,Belgium,0.874
2000,4,Belgium,0.874
2000,1,Belgium,0.874
2005,170,Belgium,0.866
2005,643,Belgium,0.866
2005,370,Belgium,0.866
2005,195,Belgium,0.866
2005,173,Belgium,0.866
2005,236,Belgium,0.866
2005,98,Belgium,0.866
2005,69,Belgium,0.866
2005,48,Belgium,0.866
2005,26,Belgium,0.866
2005,1,Belgium,0.866
2010,183,Belgium,0.883
2010,622,Belgium,0.883
2010,356,Belgium,0.883
2010,184,Belgium,0.883
2010,243,Belgium,0.883
2010,173,Belgium,0.883
2010,98,Belgium,0.883
2010,63,Belgium,0.883
2010,50,Belgium,0.883
2010,32,Belgium,0.883
2010,7,Belgium,0.883
2010,2,Belgium,0.883
2011,196,Belgium,0.886
2011,607,Belgium,0.886
2011,408,Belgium,0.886
2011,163,Belgium,0.886
2011,109,Belgium,0.886
2011,247,Belgium,0.886
2011,185,Belgium,0.886
2011,67,Belgium,0.886
2011,60,Belgium,0.886
2011,41,Belgium,0.886
2011,5,Belgium,0.886
2012,191,Belgium,0.889
2012,617,Belgium,0.889
2012,381,Belgium,0.889
2012,193,Belgium,0.889
2012,187,Belgium,0.889
2012,100,Belgium,0.889
2012,217,Belgium,0.889
2012,61,Belgium,0.889
2012,45,Belgium,0.889
2012,28,Belgium,0.889
2012,3,Belgium,0.889
2012,3,Belgium,0.889
2013,183,Belgium,0.888
2013,570,Belgium,0.888
2013,357,Belgium,0.888
2013,159,Belgium,0.888
2013,215,Belgium,0.888
2013,168,Belgium,0.888
2013,91,Belgium,0.888
2013,73,Belgium,0.888
2013,47,Belgium,0.888
2013,27,Belgium,0.888
2013,3,Belgium,0.888
2013,2,Belgium,0.888
2014,187,Belgium,0.89
2014,531,Belgium,0.89
2014,363,Belgium,0.89
2014,168,Belgium,0.89
2014,231,Belgium,0.89
2014,177,Belgium,0.89
2014,83,Belgium,0.89
2014,85,Belgium,0.89
2014,43,Belgium,0.89
2014,27,Belgium,0.89
2014,4,Belgium,0.89
1990,1,Belize,0.644
1990,1,Belize,0.644
1990,1,Belize,0.644
1995,1,Belize,0.664
1995,4,Belize,0.664
1995,3,Belize,0.664
1995,4,Belize,0.664
1995,1,Belize,0.664
1995,1,Belize,0.664
2000,1,Belize,0.683
2000,2,Belize,0.683
2000,4,Belize,0.683
2000,4,Belize,0.683
2000,3,Belize,0.683
2000,2,Belize,0.683
2000,2,Belize,0.683
2005,5,Belize,0.701
2005,3,Belize,0.701
2005,2,Belize,0.701
2005,1,Belize,0.701
2005,1,Belize,0.701
2010,2,Belize,0.71
2010,4,Belize,0.71
2010,5,Belize,0.71
2010,2,Belize,0.71
2010,2,Belize,0.71
2011,1,Belize,0.711
2011,9,Belize,0.711
2011,9,Belize,0.711
2011,8,Belize,0.711
2011,4,Belize,0.711
2011,1,Belize,0.711
2011,1,Belize,0.711
2012,3,Belize,0.716
2012,6,Belize,0.716
2012,6,Belize,0.716
2012,2,Belize,0.716
2012,1,Belize,0.716
2013,7,Belize,0.715
2013,4,Belize,0.715
2013,4,Belize,0.715
2013,1,Belize,0.715
2013,1,Belize,0.715
2014,4,Belize,0.715
2014,7,Belize,0.715
2014,5,Belize,0.715
2014,2,Belize,0.715
2014,2,Belize,0.715
2014,2,Belize,0.715
2014,1,Belize,0.715
2014,1,Belize,0.715
2011,2,Bosnia and Herzegovina,0.724
2011,1,Bosnia and Herzegovina,0.724
2011,2,Bosnia and Herzegovina,0.724
2014,37,Bosnia and Herzegovina,0.733
2014,84,Bosnia and Herzegovina,0.733
2014,96,Bosnia and Herzegovina,0.733
2014,14,Bosnia and Herzegovina,0.733
2014,19,Bosnia and Herzegovina,0.733
2014,28,Bosnia and Herzegovina,0.733
2014,23,Bosnia and Herzegovina,0.733
2014,6,Bosnia and Herzegovina,0.733
2014,3,Bosnia and Herzegovina,0.733
2014,2,Bosnia and Herzegovina,0.733
2014,1,Bosnia and Herzegovina,0.733
1985,129,Brazil,0.576
1985,535,Brazil,0.576
1985,1011,Brazil,0.576
1985,791,Brazil,0.576
1985,661,Brazil,0.576
1985,32,Brazil,0.576
1985,148,Brazil,0.576
1985,269,Brazil,0.576
1985,296,Brazil,0.576
1985,280,Brazil,0.576
1985,41,Brazil,0.576
1985,35,Brazil,0.576
1990,151,Brazil,0.608
1990,601,Brazil,0.608
1990,1127,Brazil,0.608
1990,945,Brazil,0.608
1990,731,Brazil,0.608
1990,38,Brazil,0.608
1990,196,Brazil,0.608
1990,394,Brazil,0.608
1990,304,Brazil,0.608
1990,250,Brazil,0.608
1990,34,Brazil,0.608
1990,32,Brazil,0.608
1995,180,Brazil,0.648
1995,812,Brazil,0.648
1995,1703,Brazil,0.648
1995,1318,Brazil,0.648
1995,1084,Brazil,0.648
1995,42,Brazil,0.648
1995,208,Brazil,0.648
1995,450,Brazil,0.648
1995,318,Brazil,0.648
1995,347,Brazil,0.648
1995,38,Brazil,0.648
1995,36,Brazil,0.648
2000,215,Brazil,0.683
2000,900,Brazil,0.683
2000,1989,Brazil,0.683
2000,1200,Brazil,0.683
2000,1037,Brazil,0.683
2000,45,Brazil,0.683
2000,220,Brazil,0.683
2000,456,Brazil,0.683
2000,345,Brazil,0.683
2000,271,Brazil,0.683
2000,43,Brazil,0.683
2000,42,Brazil,0.683
2005,297,Brazil,0.702
2005,1175,Brazil,0.702
2005,2490,Brazil,0.702
2005,1464,Brazil,0.702
2005,1247,Brazil,0.702
2005,664,Brazil,0.702
2005,259,Brazil,0.702
2005,369,Brazil,0.702
2005,405,Brazil,0.702
2005,53,Brazil,0.702
2005,54,Brazil,0.702
2005,52,Brazil,0.702
2010,358,Brazil,0.737
2010,1236,Brazil,0.737
2010,1832,Brazil,0.737
2010,2586,Brazil,0.737
2010,1288,Brazil,0.737
2010,835,Brazil,0.737
2010,339,Brazil,0.737
2010,79,Brazil,0.737
2010,404,Brazil,0.737
2010,368,Brazil,0.737
2010,56,Brazil,0.737
2010,48,Brazil,0.737
2011,352,Brazil,0.742
2011,1323,Brazil,0.742
2011,1907,Brazil,0.742
2011,2754,Brazil,0.742
2011,1335,Brazil,0.742
2011,805,Brazil,0.742
2011,352,Brazil,0.742
2011,413,Brazil,0.742
2011,400,Brazil,0.742
2011,71,Brazil,0.742
2011,63,Brazil,0.742
2011,47,Brazil,0.742
2012,376,Brazil,0.746
2012,1458,Brazil,0.746
2012,2885,Brazil,0.746
2012,1930,Brazil,0.746
2012,1313,Brazil,0.746
2012,877,Brazil,0.746
2012,418,Brazil,0.746
2012,455,Brazil,0.746
2012,80,Brazil,0.746
2012,383,Brazil,0.746
2012,79,Brazil,0.746
2012,41,Brazil,0.746
2013,370,Brazil,0.752
2013,1474,Brazil,0.752
2013,3053,Brazil,0.752
2013,2004,Brazil,0.752
2013,1317,Brazil,0.752
2013,897,Brazil,0.752
2013,433,Brazil,0.752
2013,88,Brazil,0.752
2013,393,Brazil,0.752
2013,362,Brazil,0.752
2013,72,Brazil,0.752
2013,50,Brazil,0.752
2014,390,Brazil,0.755
2014,1534,Brazil,0.755
2014,3050,Brazil,0.755
2014,1982,Brazil,0.755
2014,1358,Brazil,0.755
2014,871,Brazil,0.755
2014,389,Brazil,0.755
2014,457,Brazil,0.755
2014,83,Brazil,0.755
2014,371,Brazil,0.755
2014,84,Brazil,0.755
2014,62,Brazil,0.755
1985,218,Bulgaria,0.686
1985,94,Bulgaria,0.686
1985,345,Bulgaria,0.686
1985,278,Bulgaria,0.686
1985,168,Bulgaria,0.686
1985,105,Bulgaria,0.686
1985,77,Bulgaria,0.686
1985,91,Bulgaria,0.686
1985,36,Bulgaria,0.686
1985,31,Bulgaria,0.686
1985,11,Bulgaria,0.686
1985,2,Bulgaria,0.686
1990,174,Bulgaria,0.695
1990,98,Bulgaria,0.695
1990,294,Bulgaria,0.695
1990,242,Bulgaria,0.695
1990,106,Bulgaria,0.695
1990,161,Bulgaria,0.695
1990,90,Bulgaria,0.695
1990,86,Bulgaria,0.695
1990,30,Bulgaria,0.695
1990,26,Bulgaria,0.695
1990,14,Bulgaria,0.695
1990,2,Bulgaria,0.695
1995,169,Bulgaria,0.696
1995,349,Bulgaria,0.696
1995,83,Bulgaria,0.696
1995,307,Bulgaria,0.696
1995,184,Bulgaria,0.696
1995,101,Bulgaria,0.696
1995,87,Bulgaria,0.696
1995,79,Bulgaria,0.696
1995,37,Bulgaria,0.696
1995,24,Bulgaria,0.696
1995,7,Bulgaria,0.696
1995,6,Bulgaria,0.696
2000,180,Bulgaria,0.713
2000,289,Bulgaria,0.713
2000,100,Bulgaria,0.713
2000,371,Bulgaria,0.713
2000,102,Bulgaria,0.713
2000,128,Bulgaria,0.713
2000,54,Bulgaria,0.713
2000,97,Bulgaria,0.713
2000,37,Bulgaria,0.713
2000,20,Bulgaria,0.713
2000,5,Bulgaria,0.713
2005,126,Bulgaria,0.749
2005,269,Bulgaria,0.749
2005,71,Bulgaria,0.749
2005,214,Bulgaria,0.749
2005,76,Bulgaria,0.749
2005,84,Bulgaria,0.749
2005,39,Bulgaria,0.749
2005,56,Bulgaria,0.749
2005,20,Bulgaria,0.749
2005,21,Bulgaria,0.749
2005,3,Bulgaria,0.749
2005,3,Bulgaria,0.749
2010,137,Bulgaria,0.773
2010,217,Bulgaria,0.773
2010,202,Bulgaria,0.773
2010,60,Bulgaria,0.773
2010,57,Bulgaria,0.773
2010,74,Bulgaria,0.773
2010,35,Bulgaria,0.773
2010,57,Bulgaria,0.773
2010,11,Bulgaria,0.773
2010,8,Bulgaria,0.773
2010,1,Bulgaria,0.773
2011,98,Bulgaria,0.775
2011,209,Bulgaria,0.775
2011,201,Bulgaria,0.775
2011,48,Bulgaria,0.775
